#               x              rho              vx               vy               vx               pre               Bx              By                Bz
  -0.16526600E+00   0.97846420E+00   0.36950610E-01  -0.11955390E-01   0.00000000E+00   0.96436520E+00   0.97323800E+00   0.97323800E+00   0.00000000E+00
  -0.16516510E+00   0.97805110E+00   0.37664020E-01  -0.12188870E-01   0.00000000E+00   0.96368680E+00   0.97272340E+00   0.97272340E+00   0.00000000E+00
  -0.16506430E+00   0.97763820E+00   0.38377310E-01  -0.12422420E-01   0.00000000E+00   0.96300880E+00   0.97220910E+00   0.97220910E+00   0.00000000E+00
  -0.16496350E+00   0.97722540E+00   0.39090480E-01  -0.12656030E-01   0.00000000E+00   0.96233120E+00   0.97169490E+00   0.97169490E+00   0.00000000E+00
  -0.16486280E+00   0.97681290E+00   0.39803520E-01  -0.12889690E-01   0.00000000E+00   0.96165420E+00   0.97118090E+00   0.97118090E+00   0.00000000E+00
  -0.16476200E+00   0.97640050E+00   0.40516440E-01  -0.13123420E-01   0.00000000E+00   0.96097760E+00   0.97066710E+00   0.97066710E+00   0.00000000E+00
  -0.16466120E+00   0.97598830E+00   0.41229230E-01  -0.13357210E-01   0.00000000E+00   0.96030150E+00   0.97015340E+00   0.97015340E+00   0.00000000E+00
  -0.16456050E+00   0.97557620E+00   0.41941900E-01  -0.13591060E-01   0.00000000E+00   0.95962590E+00   0.96964000E+00   0.96964000E+00   0.00000000E+00
  -0.16445980E+00   0.97516430E+00   0.42654450E-01  -0.13824980E-01   0.00000000E+00   0.95895080E+00   0.96912660E+00   0.96912660E+00   0.00000000E+00
  -0.16435910E+00   0.97475260E+00   0.43366870E-01  -0.14058950E-01   0.00000000E+00   0.95827610E+00   0.96861350E+00   0.96861350E+00   0.00000000E+00
  -0.16425840E+00   0.97434110E+00   0.44079170E-01  -0.14292990E-01   0.00000000E+00   0.95760190E+00   0.96810050E+00   0.96810050E+00   0.00000000E+00
  -0.16415780E+00   0.97392980E+00   0.44791340E-01  -0.14527090E-01   0.00000000E+00   0.95692820E+00   0.96758770E+00   0.96758770E+00   0.00000000E+00
  -0.16405710E+00   0.97351860E+00   0.45503390E-01  -0.14761250E-01   0.00000000E+00   0.95625500E+00   0.96707510E+00   0.96707510E+00   0.00000000E+00
  -0.16395650E+00   0.97310760E+00   0.46215310E-01  -0.14995470E-01   0.00000000E+00   0.95558220E+00   0.96656260E+00   0.96656260E+00   0.00000000E+00
  -0.16385590E+00   0.97269670E+00   0.46927110E-01  -0.15229750E-01   0.00000000E+00   0.95490990E+00   0.96605040E+00   0.96605040E+00   0.00000000E+00
  -0.16375530E+00   0.97228610E+00   0.47638780E-01  -0.15464100E-01   0.00000000E+00   0.95423810E+00   0.96553820E+00   0.96553820E+00   0.00000000E+00
  -0.16365480E+00   0.97187560E+00   0.48350330E-01  -0.15698510E-01   0.00000000E+00   0.95356670E+00   0.96502630E+00   0.96502630E+00   0.00000000E+00
  -0.16355420E+00   0.97146530E+00   0.49061760E-01  -0.15932980E-01   0.00000000E+00   0.95289590E+00   0.96451450E+00   0.96451450E+00   0.00000000E+00
  -0.16345370E+00   0.97105510E+00   0.49773060E-01  -0.16167510E-01   0.00000000E+00   0.95222550E+00   0.96400290E+00   0.96400290E+00   0.00000000E+00
  -0.16335320E+00   0.97064520E+00   0.50484240E-01  -0.16402100E-01   0.00000000E+00   0.95155550E+00   0.96349150E+00   0.96349150E+00   0.00000000E+00
  -0.16325260E+00   0.97023540E+00   0.51195290E-01  -0.16636750E-01   0.00000000E+00   0.95088610E+00   0.96298020E+00   0.96298020E+00   0.00000000E+00
  -0.16315220E+00   0.96982580E+00   0.51906220E-01  -0.16871470E-01   0.00000000E+00   0.95021710E+00   0.96246910E+00   0.96246910E+00   0.00000000E+00
  -0.16305170E+00   0.96941630E+00   0.52617030E-01  -0.17106250E-01   0.00000000E+00   0.94954860E+00   0.96195820E+00   0.96195820E+00   0.00000000E+00
  -0.16295130E+00   0.96900710E+00   0.53327710E-01  -0.17341090E-01   0.00000000E+00   0.94888050E+00   0.96144740E+00   0.96144740E+00   0.00000000E+00
  -0.16285080E+00   0.96859790E+00   0.54038270E-01  -0.17575990E-01   0.00000000E+00   0.94821290E+00   0.96093680E+00   0.96093680E+00   0.00000000E+00
  -0.16275040E+00   0.96818900E+00   0.54748700E-01  -0.17810960E-01   0.00000000E+00   0.94754580E+00   0.96042640E+00   0.96042640E+00   0.00000000E+00
  -0.16265000E+00   0.96778030E+00   0.55459010E-01  -0.18045990E-01   0.00000000E+00   0.94687920E+00   0.95991620E+00   0.95991620E+00   0.00000000E+00
  -0.16254960E+00   0.96737170E+00   0.56169200E-01  -0.18281080E-01   0.00000000E+00   0.94621300E+00   0.95940610E+00   0.95940610E+00   0.00000000E+00
  -0.16244930E+00   0.96696330E+00   0.56879260E-01  -0.18516230E-01   0.00000000E+00   0.94554730E+00   0.95889620E+00   0.95889620E+00   0.00000000E+00
  -0.16234890E+00   0.96655500E+00   0.57589200E-01  -0.18751450E-01   0.00000000E+00   0.94488210E+00   0.95838650E+00   0.95838650E+00   0.00000000E+00
  -0.16224860E+00   0.96614700E+00   0.58299010E-01  -0.18986720E-01   0.00000000E+00   0.94421730E+00   0.95787690E+00   0.95787690E+00   0.00000000E+00
  -0.16214830E+00   0.96573910E+00   0.59008700E-01  -0.19222060E-01   0.00000000E+00   0.94355300E+00   0.95736750E+00   0.95736750E+00   0.00000000E+00
  -0.16204800E+00   0.96533140E+00   0.59718260E-01  -0.19457460E-01   0.00000000E+00   0.94288920E+00   0.95685820E+00   0.95685820E+00   0.00000000E+00
  -0.16194770E+00   0.96492380E+00   0.60427710E-01  -0.19692930E-01   0.00000000E+00   0.94222580E+00   0.95634920E+00   0.95634920E+00   0.00000000E+00
